M,type,slope,slope_ci_lower,slope_ci_upper,r_squared
2,Standard,-1.94038067113432,-2.110219496638617,-1.7705418456300226,0.999173013962432
2,Rescaled,-3.3577767134013885,-3.794037062946094,-2.921516363856683,0.9981796538541179
4,Standard,-1.9974690085007443,-2.2438056312521337,-1.7511323857493546,0.9983596282469385
4,Rescaled,-3.5068043585015753,-3.796575666171493,-3.217033050831658,0.9992629026398894
6,Standard,-1.934976712693525,-2.5032743743513617,-1.366679051035688,0.9907672874015206
6,Rescaled,-4.192285280365483,-5.3420366182313215,-3.0425339424996443,0.9919397430471385
8,Standard,-1.8935580149545124,-2.1540588574113055,-1.633057172497719,0.9979595245888073
8,Rescaled,-3.3599781049330133,-4.781794174614169,-1.9381620352518578,0.9810220149287325
