N,K,Standard_MSE,Time_Augmented_MSE,Rescaled_Standard_MSE,Rescaled_Time_Augmented_MSE
8,64,0.03303068442906431,0.033031396862582545,0.01428519557831103,0.01711901901528687
16,256,0.008835975324981907,0.008828960810983402,0.0015667767619308493,0.00170871560738613
32,1024,0.0026643676152783373,0.002653742493999621,0.0001819830754012535,0.0001228891874847083
64,4096,0.0008184043804428384,0.0008182037773003739,1.147011931963697e-05,1.873539812010201e-05
