estimator,slope,slope_ci_lower,slope_ci_upper,slope_stderr,r_squared,p_value,theoretical_test_pvalue
Standard,-1.7734143798721083,-1.9161858436480452,-1.6306429160961713,0.033182195437376064,0.9993002936854855,0.00034991437729292585,0.0009178224055825937
TimeAug,-1.7739917173317932,-1.9198426057805211,-1.6281408288830652,0.03389789918254175,0.9992702814961048,0.0003649258373810138,0.0009563031839013715
Rescaled,-3.395319746716159,-4.013180006656891,-2.7774594867754265,0.14359984380714041,0.9964352779938391,0.0017839522458882318,0.0017873817989299686
RescaledAug,-3.33043354567886,-3.9606592479720786,-2.7002078433856416,0.14647375511937394,0.9961463591743078,0.0019286803167282152,0.0019635952651737517
