steps_per_block,N,K,MSE
1,8,64,0.042938960475242885
1,16,256,0.01114102380137019
1,32,1024,0.0025317154231393768
1,64,4096,0.0006210089532428524
10,8,64,0.03211354175275058
10,16,256,0.010282604108372033
10,32,1024,0.002529927634698289
10,64,4096,0.0006119359851337103
100,8,64,0.042136507752461166
100,16,256,0.010405120783723918
100,32,1024,0.0026511450419702998
100,64,4096,0.0007778748812500505
