regime,empirical_slope,slope_ci_lower,slope_ci_upper,slope_stderr,r_squared,p_value,theoretical_test_pvalue
"Slow Reversion, Low Volatility",-1.968370754872761,-2.032574702556418,-1.9041668071891038,0.026238766081260544,0.9989349708968687,3.77666120598974e-10,1.3203013977470716e-08
"Fast Reversion, Low Volatility",-1.539259576302674,-1.7952624830442794,-1.2832566695610685,0.10462285620212083,0.9730284318936246,6.194565657535733e-06,0.001053180832827545
"Slow Reversion, High Volatility",-3.251571973786261,-3.727846044587259,-2.775297902985263,0.19464292127161742,0.978952365408899,2.9370941134754247e-06,1.2553309323138453e-05
"Fast Reversion, High Volatility",-1.9735500078775656,-2.0661551604891533,-1.880944855265978,0.037845724834041486,0.9977984353015656,3.33736149826791e-09,1.1374540740986308e-07
