steps_per_block,slope,slope_ci_lower,slope_ci_upper,r_squared
1,-2.047228282076414,-2.1542595153345796,-1.940197048818248,0.999704799087237
10,-1.916400936348788,-2.2121793119876134,-1.6206225607099622,0.9974331452654558
100,-1.9250772661022912,-2.101048978211015,-1.7491055539935674,0.999098107179572
