Regime,EnhancedMLE_best_K,EnhancedMLE_best_MSE,ExpSig_best_K,ExpSig_best_MSE,RscSig_best_K,RscSig_best_MSE,ExpSig_improvement_%,RscSig_improvement_%
"Slow Reversion, Low Volatility",16,0.04795863595638679,16,0.0468752952449512,16,0.045368123801623465,2.2589064301594575,5.4015551174539596
"Fast Reversion, Low Volatility",1,0.5393326502973246,16,0.5450233990027906,16,0.531343595976293,-1.055146337298285,1.4812851246123082
"Slow Reversion, High Volatility",16,0.5204740142226849,1024,0.13265896348025163,256,0.12156553805490238,74.51189495437644,76.64330307893324
"Fast Reversion, High Volatility",1,0.6793970706051605,256,0.6438593960507755,64,0.6471545331327151,5.23076652696346,4.745757505802306
