Regime,EnhancedMLE_best_K,EnhancedMLE_best_MSE,ExpSig_best_K,ExpSig_best_MSE,RscSig_best_K,RscSig_best_MSE,ExpSig_improvement_%,RscSig_improvement_%
"Slow Reversion, Low Volatility",16,0.054526103430199514,16,0.04451579015035924,16,0.04435757336491777,18.358754156446878,18.648921205783175
"Fast Reversion, Low Volatility",1,0.5398870484655358,4096,0.544077346412656,1024,0.544077346412656,-0.7761434468616768,-0.7761434468616768
"Slow Reversion, High Volatility",16,0.3996416712032967,1024,0.5601107985895497,1024,0.5531374006347388,-40.1532520127569,-38.40833939295565
"Fast Reversion, High Volatility",1,0.6660483509229881,1024,0.6573109431631953,1024,0.6584425951095677,1.311827849687608,1.141922474979562
