Regime,EnhancedMLE_best_K,EnhancedMLE_best_MSE,ExpSig_best_K,ExpSig_best_MSE,RscSig_best_K,RscSig_best_MSE,ExpSig_improvement_%,RscSig_improvement_%
"Slow Reversion, Low Volatility",16,0.04468683638884778,256,0.032843400036858525,256,0.032858978749303505,26.50318820722102,26.468326235097017
"Fast Reversion, Low Volatility",1,0.5400255373350771,16,0.544730768709284,16,0.544730768709284,-0.8712979385060882,-0.8712979385060882
"Slow Reversion, High Volatility",16,0.3784057773704177,256,0.5193920121120954,256,0.5228375591523354,-37.25794984458381,-38.16849277132861
"Fast Reversion, High Volatility",1,0.7113481918899741,256,0.6645549463470081,256,0.6651615368360955,6.578107047498294,6.492833689668309
