Regime,EnhancedMLE_best_K,EnhancedMLE_best_MSE,ExpSig_best_K,ExpSig_best_MSE,RscSig_best_K,RscSig_best_MSE,ExpSig_improvement_%,RscSig_improvement_%
"Slow Reversion, Low Volatility",16,0.06315969520564221,16,0.06315969520564221,16,0.06315969520564221,0.0,0.0
"Fast Reversion, Low Volatility",1,0.5392171711107268,16,0.5447561503880349,16,0.5447561503880349,-1.0272260554867962,-1.0272260554867962
"Slow Reversion, High Volatility",16,0.3202746571088305,256,0.07324619265336943,256,0.07315909881224913,77.13019402953256,77.15738751462018
"Fast Reversion, High Volatility",1,0.6626973625907973,256,0.6624028974224865,4096,0.6650829825343976,0.04443433532911323,-0.3599863343764831
