Regime,EnhancedMLE_best_K,EnhancedMLE_best_MSE,ExpSig_best_K,ExpSig_best_MSE,RscSig_best_K,RscSig_best_MSE,ExpSig_improvement_%,RscSig_improvement_%
"Slow Reversion, Low Volatility",16,0.050003109253816014,256,0.04223784145575607,256,0.044041316060802735,15.529569888631144,11.922844963002577
"Fast Reversion, Low Volatility",1,0.539388931300428,16,0.5444260410533212,16,0.5444260410533212,-0.9338548606752317,-0.9338548606752317
"Slow Reversion, High Volatility",16,0.4102375073302955,256,0.28330287320101244,256,0.28189583152745945,30.9417427371125,31.284724948249064
"Fast Reversion, High Volatility",1,0.6407543238230821,16,0.651029787992215,16,0.651029787992215,-1.6036511634949235,-1.6036511634949235
